latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
107,-0.0961286,0.0961286,-2.1063298166287874,444
408,-0.0950631,0.0950631,-2.5759985551278777,445
228,0.093830466,0.093830466,3.2294955662894607,446
452,0.09150221,0.09150221,2.7719710036306213,447
316,-0.09142288,0.09142288,-2.2341631448088344,448
110,0.08902287,0.08902287,2.4740649242749737,449
227,0.088732466,0.088732466,2.352701756058305,450
400,0.08749735,0.08749735,2.5678979198542145,451
57,-0.08645298,0.08645298,-2.5508251959075534,452
2,-0.08466222,0.08466222,-2.2475041092089763,453
283,0.08201861,0.08201861,2.4350165506630894,454
22,0.07958197,0.07958197,2.4129484666102052,455
232,0.079240955,0.079240955,2.2439941456018766,456
249,-0.07914401,0.07914401,-1.965808949124615,457
380,0.07871757,0.07871757,2.1768786457311715,458
500,0.07866812,0.07866812,2.145959299308513,459
41,0.073780805,0.073780805,2.14276119340951,460
66,0.07370593,0.07370593,1.6148794275740834,461
511,0.073314704,0.073314704,2.2853495990241957,462
458,-0.07238791,0.07238791,-1.919742419073184,463
432,-0.07204129,0.07204129,-1.74295407281922,464
335,0.06956516,0.06956516,2.0630483556466404,465
170,-0.06944711,0.06944711,-1.786042567994824,466
508,0.06928069,0.06928069,1.7635753065892052,467
218,-0.069214456,0.069214456,-1.7859979775328816,468
135,0.068807945,0.068807945,2.266334236330418,469
54,-0.06807673,0.06807673,-2.2199577917687248,470
97,-0.06755057,0.06755057,-1.9907291732015917,471
334,0.06740407,0.06740407,1.8370875296060198,472
118,0.06359845,0.06359845,2.1941808893872436,473
338,-0.06123645,0.06123645,-1.7188817634262419,474
197,0.06099969,0.06099969,1.6769680006414496,475
89,-0.057853896,0.057853896,-1.5049641491281096,476
361,-0.056003224,0.056003224,-1.42471431584966,477
153,0.055898663,0.055898663,1.632045081418853,478
262,-0.053615727,0.053615727,-1.0645944679360886,479
122,-0.053120784,0.053120784,-1.2914133477489074,480
130,-0.049214136,0.049214136,-1.1948031747546204,481
460,0.049159117,0.049159117,1.10666983083147,482
417,0.045829806,0.045829806,1.145642651963054,483
78,0.043421686,0.043421686,1.1890321956015801,484
243,-0.042326186,0.042326186,-1.182995909500101,485
178,0.042233698,0.042233698,1.1544684107637837,486
134,0.037545037,0.037545037,0.9809470653982271,487
211,-0.037489563,0.037489563,-1.1935093534177157,488
435,-0.03397864,0.03397864,-1.2503490708822977,489
391,-0.032845378,0.032845378,-0.9520624915467705,490
214,0.029956028,0.029956028,0.8654401248066869,491
21,0.027167054,0.027167054,0.8982243436004369,492
271,0.020921659,0.020921659,0.5238343551154498,493
291,-0.019810097,0.019810097,-0.6189448761398254,494
331,0.019275084,0.019275084,0.628547372436437,495
378,0.01830262,0.01830262,0.41599835188580553,496
133,0.017294798,0.017294798,0.4873435146919073,497
203,0.015452703,0.015452703,0.3775016096663205,498
405,0.012090307,0.012090307,0.3608712255485184,499
63,0.011782223,0.011782223,0.3023919057094589,500
491,0.011480492,0.011480492,0.2929492252123688,501
216,-0.0109413555,0.0109413555,-0.26243539297250557,502
56,0.010788572,0.010788572,0.2696781550162943,503
23,0.007805199,0.007805199,0.20795177034589857,504
186,0.0066352724,0.0066352724,0.22770945761704728,505
263,-0.0061227707,0.0061227707,-0.17257852746491836,506
14,-0.005506546,0.005506546,-0.1422660497585701,507
337,-0.00469256,0.00469256,-0.12715959415835817,508
419,0.0031846445,0.0031846445,0.07616961097489594,509
465,-0.001004629,0.001004629,-0.02559756420379042,510
12,-6.382838e-05,6.382838e-05,-0.0017394178580197235,511
50,-4.05407e-05,4.05407e-05,-0.0011547568531236581,512
