latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
2,0.4757531,0.4757531,20.39369997025424,665
1257,0.47292823,0.47292823,26.524141842363058,666
1062,-0.47203198,0.47203198,-21.121094211087865,667
161,0.47126165,0.47126165,19.88587752211105,668
546,-0.47046095,0.47046095,-19.15583784584146,669
671,-0.46986893,0.46986893,-20.16539870017264,670
1511,-0.46949062,0.46949062,-25.53216675513599,671
1524,0.46920985,0.46920985,23.28015392944663,672
313,-0.46915966,0.46915966,-18.85859825233064,673
1013,0.4687664,0.4687664,19.823101856792253,674
1109,0.46872213,0.46872213,22.30400545739869,675
55,-0.46826783,0.46826783,-19.51114764013739,676
1229,-0.46784812,0.46784812,-33.18171186269266,677
596,-0.4648506,0.4648506,-19.504619118665985,678
347,-0.46436983,0.46436983,-18.46932725145651,679
416,0.46428266,0.46428266,20.23028878892686,680
1336,-0.46339735,0.46339735,-24.557478361460966,681
389,-0.46174347,0.46174347,-18.25083540030007,682
297,-0.4607692,0.4607692,-18.665025020003736,683
1222,-0.45979857,0.45979857,-23.003957435649234,684
597,-0.459414,0.459414,-18.687445918591646,685
716,0.45836586,0.45836586,17.566012862913162,686
866,0.45823836,0.45823836,18.805041191171597,687
186,0.4570434,0.4570434,19.770328650292665,688
83,-0.45686406,0.45686406,-19.86472889596604,689
36,0.45590076,0.45590076,19.17542659485514,690
553,-0.45429403,0.45429403,-19.175923337612716,691
1082,-0.45410943,0.45410943,-27.95189291636706,692
360,-0.45375207,0.45375207,-18.64454223142947,693
1337,0.4530213,0.4530213,22.346661750541877,694
968,0.4529448,0.4529448,20.410731559266814,695
1283,-0.45281783,0.45281783,-23.325438769222117,696
644,-0.45269015,0.45269015,-18.79909737298077,697
1514,-0.45209068,0.45209068,-23.38394066986137,698
410,0.45147225,0.45147225,18.604912048347792,699
1436,0.45136797,0.45136797,21.78284704788013,700
514,-0.44995648,0.44995648,-18.63478712287236,701
331,-0.44973782,0.44973782,-18.678220324811843,702
1068,0.44972736,0.44972736,22.554967488167584,703
948,0.44941977,0.44941977,18.433266700282818,704
784,0.44840193,0.44840193,19.936158359114504,705
1098,-0.44727165,0.44727165,-24.099952263557785,706
1466,0.4457764,0.4457764,23.416506711686885,707
268,0.4442164,0.4442164,19.977336601156942,708
1190,0.44412482,0.44412482,20.897511724679507,709
