space,input_dimension,temperature,selected_epoch,majority_label,majority_manuscript_accuracy,image.accuracy_top1,image.accuracy_top3,image.macro_f1,image.log_loss,image.expected_calibration_error,image.mean_confidence,image.mean_confidence_correct,image.mean_confidence_incorrect,image.num_examples,manuscript.accuracy_top1,manuscript.accuracy_top3,manuscript.macro_f1,manuscript.log_loss,manuscript.expected_calibration_error,manuscript.mean_confidence,manuscript.mean_confidence_correct,manuscript.mean_confidence_incorrect,manuscript.num_examples,coverage.pages,coverage.manuscripts,coverage.test_pages,coverage.test_manuscripts
tile,512,3.618973342617127,6,1450,0.358974358974359,0.2252180174413953,0.5974077926234099,0.2022085606329634,2.022853525003229,0.0876316077854896,0.3054563357016049,0.32802474724311087,0.2988960219377326,12499,0.29304029304029305,0.706959706959707,0.24812220465415954,1.844807412183752,0.04572085676806824,0.3039360858967286,0.32659298486452937,0.2945446251846868,273,44070,917,12499,273
glyph,512,3.6046601269342595,7,1450,0.358974358974359,0.2302416721097322,0.5582135858915741,0.1929074601176192,2.2532571804426005,0.08486000455753208,0.3148087951087776,0.326933337696189,0.31118223485246654,12248,0.30036630036630035,0.663003663003663,0.24273503087490458,1.9195058181215066,0.07295515240403949,0.32322708287781104,0.34173728376124696,0.31528029506398,273,43305,917,12248,273
word,512,3.7801648072525578,28,1450,0.358974358974359,0.22154421934749002,0.6480351476690261,0.2052747898714506,1.8031598478326372,0.026549297917197342,0.24006044047967925,0.23505992199334574,0.2414835604460553,12291,0.2673992673992674,0.684981684981685,0.2650000910995864,1.7814232293585401,0.05750661509885676,0.21247151891113913,0.2169578702505789,0.21083400067224364,273,43494,917,12291,273
shared,1536,3.622240428009418,15,1450,0.358974358974359,0.2657812625010001,0.6012480998479879,0.23587099367095105,2.2873264281754833,0.16089981206154155,0.4266810745625417,0.46371781312319027,0.4132740738544154,12499,0.358974358974359,0.7289377289377289,0.3067918968438761,1.80387620750911,0.08243166520905386,0.4364194044165562,0.48873859753364524,0.4071206562709863,273,44070,917,12499,273
