space,input_dimension,temperature,selected_epoch,majority_label,majority_manuscript_accuracy,image.accuracy_top1,image.accuracy_top3,image.macro_f1,image.log_loss,image.expected_calibration_error,image.mean_confidence,image.mean_confidence_correct,image.mean_confidence_incorrect,image.num_examples,manuscript.accuracy_top1,manuscript.accuracy_top3,manuscript.macro_f1,manuscript.log_loss,manuscript.expected_calibration_error,manuscript.mean_confidence,manuscript.mean_confidence_correct,manuscript.mean_confidence_incorrect,manuscript.num_examples,coverage.pages,coverage.manuscripts,coverage.test_pages,coverage.test_manuscripts
tile,512,6.1329544253348205,13,1450,0.358974358974359,0.23953916313305065,0.6202096167693415,0.2080947220764998,1.8025720259236546,0.10009831749259719,0.3228369626556497,0.35623055736368503,0.3123182438175795,12499,0.304029304029304,0.6923076923076923,0.2247749639666933,1.716055986647186,0.06915174037788886,0.30681352462271866,0.33651773156187864,0.29383747632824353,273,43415,908,12499,273
glyph,512,5.257976959571093,2,1450,0.358974358974359,0.1992161985630307,0.5251469627694317,0.18075702034239852,1.9531213494464787,0.05127722674405909,0.2504324866778389,0.2700847649981678,0.24554346148395606,12248,0.28205128205128205,0.6703296703296703,0.23368839852086554,1.7868496087023928,0.02919243845578446,0.2528588435954976,0.26864232449584746,0.24665819038464584,273,42662,908,12248,273
word,512,4.164704451829875,19,1450,0.358974358974359,0.24115206248474494,0.6655276218371166,0.2190599048774621,1.7485414628112812,0.013974589692582381,0.2364437989674022,0.24094303133397876,0.23501400109729034,12291,0.29304029304029305,0.7289377289377289,0.26794012063853206,1.7236623527481225,0.08148932978588758,0.2172282617985034,0.22472810972668816,0.21411951654329736,273,42851,908,12291,273
shared,1536,8.502383334226513,20,1450,0.358974358974359,0.21745739659172733,0.5932474597967837,0.17267886027582116,1.9387246992261984,0.1082849813126545,0.32571388139936497,0.3381839837854558,0.32224861830914975,12499,0.3333333333333333,0.7106227106227107,0.24394449434468837,1.7322834153476745,0.03231715726521873,0.3150674721011028,0.33191825750564463,0.30664207939883187,273,43415,908,12499,273
