space,input_dimension,selected_alpha,median_baseline_year,test.mae_years,test.rmse_years,test.r2,test.spearman_rho,test.within_25_years,test.within_50_years,test.within_100_years,test.nearest_bucket_accuracy,test.num_manuscripts,median_baseline.mae_years,median_baseline.rmse_years,median_baseline.r2,median_baseline.spearman_rho,median_baseline.within_25_years,median_baseline.within_50_years,median_baseline.within_100_years,median_baseline.nearest_bucket_accuracy,median_baseline.num_manuscripts,coefficient_norms.l1,coefficient_norms.l2,coefficient_norms.max_abs,intercepts.standardized_space,intercepts.original_space,coverage.pages,coverage.manuscripts,coverage.test_manuscripts
tile,512,100.0,1400.0,65.81376631181318,83.5889051226763,-0.13369898109748624,0.36514560886960784,0.25274725274725274,0.4725274725274725,0.7619047619047619,0.26373626373626374,273,63.91941391941392,78.73775269610951,-0.005927111227222337,,0.1794871794871795,0.6666666666666666,0.8937728937728938,0.1794871794871795,273,1141.592529296875,63.756099700927734,8.022111892700195,1381.993408203125,1374.6872215763906,43415,908,273
glyph,512,1000.0,1400.0,65.76045869820284,79.55246277592646,-0.026851734259589977,0.261542161018983,0.20146520146520147,0.45054945054945056,0.7838827838827839,0.20146520146520147,273,63.91941391941392,78.73775269610951,-0.005927111227222337,,0.1794871794871795,0.6666666666666666,0.8937728937728938,0.1794871794871795,273,553.8633422851562,30.49686622619629,4.489023208618164,1372.395263671875,1369.9531899714887,42662,908,273
word,512,1000.0,1400.0,61.85137201665522,76.86029683616296,0.04147245495064078,0.4383262054008004,0.2673992673992674,0.4908424908424908,0.7875457875457875,0.2673992673992674,273,63.91941391941392,78.73775269610951,-0.005927111227222337,,0.1794871794871795,0.6666666666666666,0.8937728937728938,0.1794871794871795,273,268.84844970703125,15.042899131774902,2.7464804649353027,1362.51806640625,1370.9392933474053,42851,908,273
shared,1536,1000.0,1400.0,55.48583581945398,69.69373809942648,0.21188788996581742,0.4997096343139723,0.29304029304029305,0.5128205128205128,0.8388278388278388,0.29304029304029305,273,63.91941391941392,78.73775269610951,-0.005927111227222337,,0.1794871794871795,0.6666666666666666,0.8937728937728938,0.1794871794871795,273,816.7701416015625,27.533479690551758,3.0614571571350098,1381.2076416015625,1381.780722197026,43415,908,273
