manuscript_id,picture_id,page_number,xml_path,page_key,status,error,hebrew_glyph_count,selected_glyph_count,selection_status,selection_reason
990052151340205171,IE166727140_P000001_FL166727142.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052151340205171/IE166727140/IE166727140_P000001_FL166727142—reco_improved_polys_improved_reading_order.xml,990052151340205171:345:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052151340205171/IE166727140/IE166727140_P000001_FL166727142—reco_improved_polys_improved_reading_order.xml,ok,,54,35,accepted,
990051648130205171,IE164069615_P000001_FL164069617.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051648130205171/IE164069615/IE164069615_P000001_FL164069617—reco_improved_polys_improved_reading_order.xml,990051648130205171:346:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051648130205171/IE164069615/IE164069615_P000001_FL164069617—reco_improved_polys_improved_reading_order.xml,ok,,231,205,accepted,
990051648130205171,IE164069615_P000002_FL164069618.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051648130205171/IE164069615/IE164069615_P000002_FL164069618—reco_improved_polys_improved_reading_order.xml,990051648130205171:347:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051648130205171/IE164069615/IE164069615_P000002_FL164069618—reco_improved_polys_improved_reading_order.xml,ok,,233,194,accepted,
990051095140205171,IE162745459_P000001_FL162745461.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051095140205171/IE162745459/IE162745459_P000001_FL162745461—reco_improved_polys_improved_reading_order.xml,990051095140205171:348:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051095140205171/IE162745459/IE162745459_P000001_FL162745461—reco_improved_polys_improved_reading_order.xml,ok,,48,39,accepted,
990051095140205171,IE162745459_P000002_FL162745462.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051095140205171/IE162745459/IE162745459_P000002_FL162745462—reco_improved_polys_improved_reading_order.xml,990051095140205171:349:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051095140205171/IE162745459/IE162745459_P000002_FL162745462—reco_improved_polys_improved_reading_order.xml,ok,,57,47,accepted,
990051872000205171,IE167326695_P000002_FL167326698.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051872000205171/IE167326695/IE167326695_P000002_FL167326698—reco_improved_polys_improved_reading_order.xml,990051872000205171:350:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051872000205171/IE167326695/IE167326695_P000002_FL167326698—reco_improved_polys_improved_reading_order.xml,ok,,20,19,accepted,
990051872000205171,IE167326695_P000001_FL167326697.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051872000205171/IE167326695/IE167326695_P000001_FL167326697—reco_improved_polys_improved_reading_order.xml,990051872000205171:351:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051872000205171/IE167326695/IE167326695_P000001_FL167326697—reco_improved_polys_improved_reading_order.xml,ok,,24,20,accepted,
990053003080205171,IE147453405_P000001_FL147453408.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053003080205171/IE147453405/IE147453405_P000001_FL147453408—reco_improved_polys_improved_reading_order.xml,990053003080205171:352:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053003080205171/IE147453405/IE147453405_P000001_FL147453408—reco_improved_polys_improved_reading_order.xml,ok,,320,294,accepted,
990053003080205171,IE147453405_P000002_FL147453409.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053003080205171/IE147453405/IE147453405_P000002_FL147453409—reco_improved_polys_improved_reading_order.xml,990053003080205171:353:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053003080205171/IE147453405/IE147453405_P000002_FL147453409—reco_improved_polys_improved_reading_order.xml,ok,,63,55,accepted,
990051745900205171,IE164968635_P000002_FL164968638.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051745900205171/IE164968635/IE164968635_P000002_FL164968638—reco_improved_polys_improved_reading_order.xml,990051745900205171:354:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051745900205171/IE164968635/IE164968635_P000002_FL164968638—reco_improved_polys_improved_reading_order.xml,ok,,9,8,accepted,
990051745900205171,IE164968635_P000001_FL164968637.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051745900205171/IE164968635/IE164968635_P000001_FL164968637—reco_improved_polys_improved_reading_order.xml,990051745900205171:355:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051745900205171/IE164968635/IE164968635_P000001_FL164968637—reco_improved_polys_improved_reading_order.xml,ok,,19,15,accepted,
990052162240205171,IE166761977_P000001_FL166761979.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052162240205171/IE166761977/IE166761977_P000001_FL166761979—reco_improved_polys_improved_reading_order.xml,990052162240205171:356:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052162240205171/IE166761977/IE166761977_P000001_FL166761979—reco_improved_polys_improved_reading_order.xml,ok,,353,310,accepted,
990051528350205171,IE167130158_P000001_FL167130160.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051528350205171/IE167130158/IE167130158_P000001_FL167130160—reco_improved_polys_improved_reading_order.xml,990051528350205171:358:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051528350205171/IE167130158/IE167130158_P000001_FL167130160—reco_improved_polys_improved_reading_order.xml,ok,,449,382,accepted,
990051528350205171,IE167130158_P000002_FL167130161.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051528350205171/IE167130158/IE167130158_P000002_FL167130161—reco_improved_polys_improved_reading_order.xml,990051528350205171:359:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051528350205171/IE167130158/IE167130158_P000002_FL167130161—reco_improved_polys_improved_reading_order.xml,ok,,193,167,accepted,
990051728580205171,IE202028036_P000001_FL202028038.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051728580205171/IE202028036/IE202028036_P000001_FL202028038—reco_improved_polys_improved_reading_order.xml,990051728580205171:360:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051728580205171/IE202028036/IE202028036_P000001_FL202028038—reco_improved_polys_improved_reading_order.xml,ok,,633,481,accepted,
990051728580205171,IE202028036_P000002_FL202028039.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051728580205171/IE202028036/IE202028036_P000002_FL202028039—reco_improved_polys_improved_reading_order.xml,990051728580205171:361:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051728580205171/IE202028036/IE202028036_P000002_FL202028039—reco_improved_polys_improved_reading_order.xml,ok,,732,563,accepted,
990053515740205171,IE168339499_P000001_FL168339501.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053515740205171/IE168339499/IE168339499_P000001_FL168339501—reco_improved_polys_improved_reading_order.xml,990053515740205171:362:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053515740205171/IE168339499/IE168339499_P000001_FL168339501—reco_improved_polys_improved_reading_order.xml,ok,,980,854,accepted,
990053515740205171,IE168339499_P000002_FL168339502.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053515740205171/IE168339499/IE168339499_P000002_FL168339502—reco_improved_polys_improved_reading_order.xml,990053515740205171:363:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053515740205171/IE168339499/IE168339499_P000002_FL168339502—reco_improved_polys_improved_reading_order.xml,ok,,1007,885,accepted,
990051189420205171,IE202915082_P000005_FL202915088.jpg,P000005,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051189420205171/IE202915082/IE202915082_P000005_FL202915088—reco_improved_polys_improved_reading_order.xml,990051189420205171:364:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051189420205171/IE202915082/IE202915082_P000005_FL202915088—reco_improved_polys_improved_reading_order.xml,ok,,454,402,accepted,
990051189420205171,IE202915082_P000002_FL202915085.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051189420205171/IE202915082/IE202915082_P000002_FL202915085—reco_improved_polys_improved_reading_order.xml,990051189420205171:365:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990051189420205171/IE202915082/IE202915082_P000002_FL202915085—reco_improved_polys_improved_reading_order.xml,ok,,661,545,accepted,
990053712970205171,IE168622527_P000001_FL168622529.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053712970205171/IE168622527/IE168622527_P000001_FL168622529—reco_improved_polys_improved_reading_order.xml,990053712970205171:368:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053712970205171/IE168622527/IE168622527_P000001_FL168622529—reco_improved_polys_improved_reading_order.xml,ok,,113,94,accepted,
990053712970205171,IE168622527_P000002_FL168622530.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053712970205171/IE168622527/IE168622527_P000002_FL168622530—reco_improved_polys_improved_reading_order.xml,990053712970205171:369:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053712970205171/IE168622527/IE168622527_P000002_FL168622530—reco_improved_polys_improved_reading_order.xml,ok,,65,48,accepted,
990053440300205171,IE167803348_P000002_FL167803351.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053440300205171/IE167803348/IE167803348_P000002_FL167803351—reco_improved_polys_improved_reading_order.xml,990053440300205171:370:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053440300205171/IE167803348/IE167803348_P000002_FL167803351—reco_improved_polys_improved_reading_order.xml,ok,,402,376,accepted,
990053440300205171,IE167803348_P000001_FL167803350.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053440300205171/IE167803348/IE167803348_P000001_FL167803350—reco_improved_polys_improved_reading_order.xml,990053440300205171:371:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053440300205171/IE167803348/IE167803348_P000001_FL167803350—reco_improved_polys_improved_reading_order.xml,ok,,466,442,accepted,
990052303650205171,IE167685286_P000001_FL167685288.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052303650205171/IE167685286/IE167685286_P000001_FL167685288—reco_improved_polys_improved_reading_order.xml,990052303650205171:372:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052303650205171/IE167685286/IE167685286_P000001_FL167685288—reco_improved_polys_improved_reading_order.xml,ok,,55,31,accepted,
990052303650205171,IE167685286_P000002_FL167685289.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052303650205171/IE167685286/IE167685286_P000002_FL167685289—reco_improved_polys_improved_reading_order.xml,990052303650205171:373:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052303650205171/IE167685286/IE167685286_P000002_FL167685289—reco_improved_polys_improved_reading_order.xml,ok,,47,30,accepted,
990052010240205171,IE203005017_P000001_FL203005019.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052010240205171/IE203005017/IE203005017_P000001_FL203005019—reco_improved_polys_improved_reading_order.xml,990052010240205171:374:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052010240205171/IE203005017/IE203005017_P000001_FL203005019—reco_improved_polys_improved_reading_order.xml,ok,,73,61,accepted,
990052010240205171,IE203005017_P000002_FL203005020.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052010240205171/IE203005017/IE203005017_P000002_FL203005020—reco_improved_polys_improved_reading_order.xml,990052010240205171:375:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990052010240205171/IE203005017/IE203005017_P000002_FL203005020—reco_improved_polys_improved_reading_order.xml,ok,,8,5,accepted,
990053646930205171,IE168343105_P000002_FL168343108.jpg,P000002,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053646930205171/IE168343105/IE168343105_P000002_FL168343108—reco_improved_polys_improved_reading_order.xml,990053646930205171:376:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053646930205171/IE168343105/IE168343105_P000002_FL168343108—reco_improved_polys_improved_reading_order.xml,ok,,401,362,accepted,
990053646930205171,IE168343105_P000001_FL168343107.jpg,P000001,/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053646930205171/IE168343105/IE168343105_P000001_FL168343107—reco_improved_polys_improved_reading_order.xml,990053646930205171:377:/nas/archive/paris-data/automatic_transcriptions/geniza/all_04_improved_reading_order/990053646930205171/IE168343105/IE168343105_P000001_FL168343107—reco_improved_polys_improved_reading_order.xml,ok,,424,387,accepted,
