latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
272,-0.63192993,0.63192993,-16.390229194550372,327
173,0.62863666,0.62863666,15.282458672265388,328
1,-0.6185452,0.6185452,-15.123245144911253,329
128,-0.61741847,0.61741847,-14.829985399449157,330
61,-0.6141538,0.6141538,-14.530300508264453,331
29,0.6127965,0.6127965,14.35613768289282,332
250,-0.608878,0.608878,-14.519762772289887,333
87,0.6075356,0.6075356,14.125386880587909,334
299,-0.6073355,0.6073355,-15.063603035532854,335
295,-0.6021554,0.6021554,-14.129425232985867,336
21,-0.5975302,0.5975302,-14.294559453734214,337
34,-0.5902149,0.5902149,-14.00065704002045,338
247,0.5883919,0.5883919,13.773410224935311,339
500,0.5881076,0.5881076,13.938330003232549,340
240,0.585899,0.585899,14.67597955157685,341
463,-0.57942116,0.57942116,-14.794887566142592,342
410,-0.5744382,0.5744382,-13.871819650653597,343
416,0.5734185,0.5734185,13.773239003162116,344
385,-0.56945425,0.56945425,-13.848884555075383,345
212,-0.55762476,0.55762476,-12.827396073746877,346
4,-0.5545473,0.5545473,-13.338620667411087,347
317,0.55408466,0.55408466,14.015786924550328,348
207,0.5534562,0.5534562,13.743623647696994,349
344,0.550111,0.550111,14.19932883013175,350
470,0.5469201,0.5469201,12.994014272902279,351
415,0.5450995,0.5450995,13.44591366481147,352
35,-0.544807,0.544807,-13.412859326703074,353
338,-0.54447424,0.54447424,-13.166705168939691,354
43,0.54316753,0.54316753,13.950517325724272,355
371,0.5399353,0.5399353,13.712775924199759,356
5,-0.5368567,0.5368567,-12.927793221791372,357
477,-0.530348,0.530348,-12.099558088465528,358
262,0.5298106,0.5298106,13.851230501945052,359
226,0.52403617,0.52403617,13.064474236186468,360
324,-0.52173865,0.52173865,-12.53331064314913,361
261,-0.51916635,0.51916635,-12.236327225949424,362
319,0.5111621,0.5111621,11.96881557003308,363
20,-0.50949115,0.50949115,-12.768156487130137,364
305,-0.5090854,0.5090854,-12.505006577345208,365
351,0.5089439,0.5089439,12.98070226548315,366
381,-0.5048074,0.5048074,-12.18213890559589,367
86,0.4995002,0.4995002,11.569929965937204,368
241,-0.49286285,0.49286285,-12.603951589201893,369
350,-0.48466897,0.48466897,-11.59730511053802,370
263,0.4798615,0.4798615,11.497014406187867,371
316,-0.47446176,0.47446176,-11.682096227780775,372
18,-0.4737685,0.4737685,-11.505914524606679,373
347,0.47351998,0.47351998,11.499743362456506,374
181,0.47047523,0.47047523,10.8683079534715,375
2,-0.46557024,0.46557024,-11.22959893865791,376
466,-0.46066013,0.46066013,-11.372379295246771,377
155,0.44789723,0.44789723,10.906804509814624,378
91,-0.44689336,0.44689336,-10.516235147186372,379
447,-0.442647,0.442647,-10.77667483848233,380
483,-0.43961206,0.43961206,-10.023283993164181,381
138,0.4344231,0.4344231,10.672451553425391,382
423,-0.4339499,0.4339499,-10.710985465281055,383
399,-0.4338914,0.4338914,-10.541119274891251,384
202,-0.42889318,0.42889318,-10.18174278189372,385
424,0.42711788,0.42711788,10.583135403025091,386
439,0.4132025,0.4132025,10.40827275132573,387
409,0.4125731,0.4125731,9.733149916944754,388
467,0.4113706,0.4113706,9.486541587844313,389
49,-0.41108972,0.41108972,-10.135928097473323,390
474,0.4090335,0.4090335,9.482013124564759,391
328,0.40657952,0.40657952,9.440127904690621,392
390,0.40305755,0.40305755,9.51624642690885,393
437,0.4005208,0.4005208,9.526822179197222,394
443,0.39844808,0.39844808,10.224823827904,395
