space,input_dimension,selected_C,image.accuracy,image.balanced_accuracy,image.macro_f1,image.specificity,image.sensitivity,image.roc_auc,image.pr_auc,image.log_loss,image.num_examples,manuscript.accuracy,manuscript.balanced_accuracy,manuscript.macro_f1,manuscript.specificity,manuscript.sensitivity,manuscript.roc_auc,manuscript.pr_auc,manuscript.log_loss,manuscript.num_examples,coefficient_norms.l1,coefficient_norms.l2,coefficient_norms.max_abs,coverage.pages,coverage.manuscripts,coverage.test_pages,coverage.test_manuscripts
tile,512,10.0,0.6278089003587839,0.6082347593782782,0.5724646252184439,0.9311572700296736,0.2853122487268829,0.7852073294007144,0.722565205601508,3.556043452077082,15887,0.90633608815427,0.6123601917370464,0.6207595870206489,0.9554896142433235,0.2692307692307692,0.8035836566993837,0.23296338110382966,0.38537106997301923,363,728.1031725576903,39.820536574004855,6.129065106047082,56421,1209,15887,363
glyph,512,1.0,0.5730481834578717,0.5462874674668692,0.4780808305040772,0.9352700096432015,0.1573049252905368,0.7243846788899271,0.6587317949855678,4.90053838105432,15524,0.8980716253443526,0.590162063455832,0.5951225394145842,0.9495548961424333,0.23076923076923078,0.8137411549874458,0.24885437561979204,0.4265447479587613,363,322.13449479480175,17.992903368649795,2.6861744039734545,55355,1209,15524,363
word,512,10.0,0.7140843265410739,0.7115303240514617,0.7119543088548641,0.7489203454894434,0.67414030261348,0.7820065337001376,0.7964596480364201,0.5803707769232368,15606,0.7878787878787878,0.7260328692079434,0.590551527136893,0.798219584569733,0.6538461538461539,0.7695731568135129,0.39186262259971616,0.46600374892432794,363,371.6063747686748,20.65876868243974,2.6469613492676944,55582,1209,15606,363
shared,1536,0.01,0.7694341285327626,0.757305994287973,0.7545840735305476,0.9573887240356083,0.5572232645403377,0.9012037886120536,0.8795868628146897,0.8941359042648543,15887,0.9393939393939394,0.7543939739785437,0.7637278106508876,0.9703264094955489,0.5384615384615384,0.9084683862131933,0.49744945985720723,0.18354992428785216,363,84.32417716917284,2.9892771386945403,0.34095162319974204,56421,1209,15887,363
