latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
160,2.8774934,2.8774934,64.71961761192114,154
419,-2.8730805,2.8730805,-69.80841884170967,155
244,-2.8683167,2.8683167,-69.67742496862549,156
283,-2.8521864,2.8521864,-73.36264076375328,157
380,2.823187,2.823187,72.34620403296356,158
64,2.8177056,2.8177056,69.85293765696814,159
294,2.8100462,2.8100462,70.7269009486945,160
293,-2.7935193,2.7935193,-67.66344541608566,161
226,2.780868,2.780868,66.57210120713839,162
128,2.770626,2.770626,68.89652432342778,163
249,2.7534113,2.7534113,67.61293033206239,164
396,2.7469442,2.7469442,68.12649079065473,165
386,-2.7451916,2.7451916,-67.53928221414475,166
413,2.743361,2.743361,64.42670521961321,167
464,-2.7404115,2.7404115,-68.9685066942742,168
511,-2.7360115,2.7360115,-67.36778026529636,169
271,-2.7295022,2.7295022,-64.0917149827715,170
164,-2.7247462,2.7247462,-65.47540104531639,171
315,2.7127907,2.7127907,69.09200559178792,172
211,2.7077367,2.7077367,65.8790193328089,173
31,2.7038145,2.7038145,66.77809158830028,174
145,-2.6895835,2.6895835,-63.82985067928895,175
11,2.6416078,2.6416078,68.6423522006442,176
147,-2.634172,2.634172,-60.309673236974106,177
340,2.6328113,2.6328113,66.77423458587745,178
347,2.62179,2.62179,61.51054612601948,179
15,2.6133342,2.6133342,65.15637186362292,180
256,2.6066976,2.6066976,71.30273673166933,181
179,2.5788355,2.5788355,62.663670957846215,182
392,2.5716205,2.5716205,69.76976265273498,183
81,2.5617976,2.5617976,61.69661443457226,184
306,2.550617,2.550617,61.625173264910536,185
232,-2.5376508,2.5376508,-60.93487224693648,186
181,2.529348,2.529348,64.70120111104823,187
440,2.5163696,2.5163696,58.94522697650678,188
284,2.5045953,2.5045953,60.32041885591782,189
218,2.504535,2.504535,60.08168077218179,190
260,-2.5009904,2.5009904,-59.69207652431455,191
149,-2.4934955,2.4934955,-62.68617116934314,192
23,2.4893603,2.4893603,60.18821721791798,193
353,2.4731796,2.4731796,54.21440263367221,194
485,-2.46807,2.46807,-61.703756941166496,195
237,-2.4552457,2.4552457,-63.802658364884614,196
303,-2.4477375,2.4477375,-61.5728993744615,197
417,2.44501,2.44501,58.54079983058257,198
96,2.4291236,2.4291236,57.04509661469836,199
426,-2.4230673,2.4230673,-63.394236158491466,200
313,-2.4055133,2.4055133,-57.10419009490278,201
395,-2.3977826,2.3977826,-58.50052732469565,202
177,-2.3933911,2.3933911,-60.32508701491685,203
170,-2.387431,2.387431,-58.14255182470569,204
89,2.3857474,2.3857474,59.630326531919216,205
384,2.353866,2.353866,57.78520575444969,206
240,-2.3421752,2.3421752,-60.86900690468239,207
99,-2.3086462,2.3086462,-55.793666009517906,208
457,2.3068774,2.3068774,54.772214251247945,209
186,-2.3067377,2.3067377,-59.03221420801785,210
361,2.3060417,2.3060417,58.03968142007657,211
499,-2.2977576,2.2977576,-54.896426304012884,212
390,2.2775247,2.2775247,53.49967759574402,213
37,-2.2655914,2.2655914,-55.025968747158565,214
220,-2.2627223,2.2627223,-53.267295462145114,215
250,-2.2599394,2.2599394,-57.82748937452108,216
398,2.254147,2.254147,52.84656392734003,217
358,-2.252028,2.252028,-53.104719332225955,218
150,2.2466977,2.2466977,55.762935360951104,219
34,2.2132332,2.2132332,55.31526814293879,220
462,2.2073593,2.2073593,52.758038507277774,221
374,-2.201527,2.201527,-55.71510234290912,222
434,2.186602,2.186602,53.92023974795228,223
157,2.183991,2.183991,53.7360346754447,224
98,-2.1812873,2.1812873,-50.40206063047862,225
0,2.1670988,2.1670988,52.94291112661997,226
72,2.1585076,2.1585076,51.091486083134754,227
388,2.1553583,2.1553583,57.25571350724809,228
493,2.1552336,2.1552336,52.69950844705716,229
