epoch,train_loss,train_accuracy,val_loss,val_accuracy,mAP,KNN@1,KNN@5,KNN@10,seconds
0,6.440395146634722,0.04547867634047071,6.04962709927251,0.06545197240403326,0.21597331762313843,0.26033058762550354,0.41735535860061646,0.4628099203109741,115.30385291576385
1,5.844802286704648,0.09449654928331269,5.611277724839134,0.13709534760304262,0.21026505529880524,0.24793387949466705,0.40495866537094116,0.4545454680919647,127.55321548506618
2,5.444222194581849,0.15986108653335693,5.267561098210436,0.1982133380505926,0.20496536791324615,0.23553718626499176,0.40495866537094116,0.46694216132164,97.28295889869332
3,5.119764398545464,0.21089187754379757,4.989053995782625,0.22598620201662833,0.20550653338432312,0.22727273404598236,0.41322314739227295,0.4752066135406494,64.01868670806289
4,4.847384950836619,0.2459741638648027,4.758219302069628,0.24809835485582876,0.2098539173603058,0.24380165338516235,0.41322314739227295,0.4834710657596588,71.26144756749272
5,4.617999659072317,0.271058219784109,4.570563357677288,0.2667610118521139,0.20663702487945557,0.23553718626499176,0.41322314739227295,0.4793388545513153,74.61959846690297
6,4.437362169506402,0.29211643956821803,4.425766132246092,0.2807358924464886,0.2087404727935791,0.23553718626499176,0.41735535860061646,0.4876033067703247,46.529077392071486
7,4.2952486905476155,0.30645018580782163,4.319612969682424,0.2924995577569432,0.20963919162750244,0.23553718626499176,0.41735535860061646,0.4917355477809906,49.29371294006705
8,4.194461761164762,0.3156299769952221,4.2452624523595395,0.3032018397311162,0.21109585464000702,0.23553718626499176,0.41735535860061646,0.4917355477809906,48.26063495129347
9,4.124438227984446,0.3231286497964962,4.197009967403793,0.30788961613302673,0.21106703579425812,0.23553718626499176,0.42148759961128235,0.4917355477809906,36.17189834266901
10,4.080150294485313,0.3287913643602902,4.169237077120193,0.30903944808066514,0.2110942155122757,0.23553718626499176,0.42148759961128235,0.4917355477809906,33.77679926902056
11,4.055819233040581,0.3302512829587684,4.152623785758849,0.3137272244825756,0.2111155092716217,0.23553718626499176,0.42561984062194824,0.4917355477809906,23.66484685614705
