space,input_dimension,temperature,selected_epoch,majority_label,majority_manuscript_accuracy,image.accuracy_top1,image.accuracy_top3,image.macro_f1,image.log_loss,image.expected_calibration_error,image.mean_confidence,image.mean_confidence_correct,image.mean_confidence_incorrect,image.num_examples,manuscript.accuracy_top1,manuscript.accuracy_top3,manuscript.macro_f1,manuscript.log_loss,manuscript.expected_calibration_error,manuscript.mean_confidence,manuscript.mean_confidence_correct,manuscript.mean_confidence_incorrect,manuscript.num_examples,coverage.pages,coverage.manuscripts,coverage.test_pages,coverage.test_manuscripts
tile,512,4.113890716912626,18,1450,0.358974358974359,0.25010000800064003,0.5743659492759421,0.20402762699358418,2.063533528021906,0.1308408533019933,0.38059011518806585,0.41359452716603595,0.3695827758257342,12499,0.34065934065934067,0.6666666666666666,0.24053561654546876,1.8404552640403171,0.0536195135586399,0.3708029082508841,0.4100261831767126,0.3505375495392059,273,44070,917,12499,273
glyph,512,3.6084766907287227,9,1450,0.358974358974359,0.23914108425865446,0.5564990202482037,0.19742555106615148,2.2633082260880584,0.10201548519413045,0.3411405281042,0.3650595592432785,0.3336226783127672,12248,0.304029304029304,0.673992673992674,0.24017626084453794,1.9082722016629494,0.056234660814431014,0.34595551488661513,0.37540476858854027,0.3330908409010373,273,43305,917,12248,273
word,512,3.4788056516427317,16,1450,0.358974358974359,0.23114474005369784,0.6809860873810105,0.1975248741171512,1.8026349000264796,0.026637147210609127,0.23057979205532844,0.22704800460337862,0.23164157069564478,12291,0.23443223443223443,0.6776556776556777,0.2327157668565929,1.8017351893291251,0.04822911787100894,0.2111288268339388,0.21840723435384563,0.2089000321866946,273,43494,917,12291,273
shared,1536,3.005046752390898,8,1450,0.358974358974359,0.26282102568205457,0.5972477798223857,0.2356552772722467,2.2796304540341095,0.19447096589672166,0.4572919915787762,0.4643802250636768,0.45476487555990297,12499,0.3443223443223443,0.7362637362637363,0.29264284640970983,1.8034703924541293,0.0992077358096196,0.4417234413496997,0.4913528056202655,0.4156610936321957,273,44070,917,12499,273
