space,input_dimension,selected_C,image.balanced_accuracy,image.macro_f1,image.roc_auc,image.pr_auc,image.log_loss,image.num_examples,manuscript.balanced_accuracy,manuscript.macro_f1,manuscript.roc_auc,manuscript.pr_auc,manuscript.log_loss,manuscript.num_examples,coefficient_norms.l1,coefficient_norms.l2,coefficient_norms.max_abs,coverage.pages,coverage.manuscripts,coverage.test_pages,coverage.test_manuscripts
tile,512,10.0,0.5973394218143441,0.552373123961423,0.8147860693985034,0.7435547565285874,4.159758149394362,15887,0.6330746404930381,0.6430678466076696,0.8371376398082631,0.25046594351227824,0.376968860012628,363,496.27230171826784,28.02698988165373,4.062729780506971,56421,1209,15887,363
glyph,512,0.01,0.5704962993480299,0.5008757880613302,0.740831387260194,0.6939988400601838,2.059327535942382,15524,0.5857680894772883,0.6112301101591188,0.7966217758502625,0.2794614527362876,0.2916155688514952,363,63.05618520895632,3.5239165728922606,0.5785134703017716,55355,1209,15524,363
word,512,10.0,0.6751077509392318,0.6518220179879866,0.7834604453397471,0.801410215708515,0.9463718082449667,15606,0.6493951152704862,0.7009767387125878,0.7820132389865329,0.4160467480917717,0.2024755050557486,363,301.09710110030153,16.50319880527198,2.2699801460552473,55582,1209,15606,363
shared,1536,0.01,0.6978942646699757,0.6811504995482646,0.8989606369602027,0.8833918637006245,1.1948816097238946,15887,0.7026363843871263,0.7404406006333208,0.9082401278246975,0.5390036764618402,0.1810611684255891,363,70.21525732032838,2.470406638056672,0.2881361269017629,56421,1209,15887,363
